no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,415743A001,김포시 월곶면,2011-11-01,13.9,22.3,6.1,68.2,100.8,0.3,3.8,0.0,519,5.3,,13.4,13.7,,2011,11,1
306,415743A001,김포시 월곶면,2011-11-02,14.1,21.0,9.1,67.8,86.1,0.3,2.8,0.0,450,5.3,,13.6,14.0,,2011,11,2
307,415743A001,김포시 월곶면,2011-11-03,14.4,23.2,7.4,68.3,71.0,0.4,3.7,0.0,493,5.0,,13.9,14.2,,2011,11,3
308,415743A001,김포시 월곶면,2011-11-04,16.3,20.8,11.5,81.9,79.9,0.6,3.0,5.5,1,1.9,,15.8,16.2,,2011,11,4
309,415743A001,김포시 월곶면,2011-11-05,19.1,24.7,15.9,82.4,74.9,0.8,3.4,0.0,347,4.3,,18.6,19.1,,2011,11,5
310,415743A001,김포시 월곶면,2011-11-06,15.3,18.1,12.6,87.6,63.4,1.3,4.4,11.0,0,2.7,,14.8,15.3,,2011,11,6
311,415743A001,김포시 월곶면,2011-11-07,14.9,19.0,11.9,80.0,88.7,0.4,2.7,0.0,118,3.9,,14.4,15.0,,2011,11,7
312,415743A001,김포시 월곶면,2011-11-08,13.4,18.9,8.2,83.6,93.1,0.3,3.6,0.0,334,4.2,,12.9,13.3,,2011,11,8
313,415743A001,김포시 월곶면,2011-11-09,14.5,18.3,11.4,76.2,85.0,0.6,3.6,2.5,95,3.6,,14.1,14.5,,2011,11,9
314,415743A001,김포시 월곶면,2011-11-10,13.1,17.1,9.7,75.5,90.0,0.5,3.7,0.0,187,4.3,,12.6,13.0,,2011,11,10
315,415743A001,김포시 월곶면,2011-11-11,12.1,14.3,7.1,91.8,191.9,0.2,2.3,5.0,5,2.7,,11.6,12.1,,2011,11,11
316,415743A001,김포시 월곶면,2011-11-12,10.7,16.3,6.5,81.1,221.2,0.3,3.4,0.0,145,4.6,,10.2,10.7,,2011,11,12
317,415743A001,김포시 월곶면,2011-11-13,12.2,16.5,6.3,63.2,247.4,0.5,3.8,0.0,385,4.0,,11.8,12.2,,2011,11,13
318,415743A001,김포시 월곶면,2011-11-14,6.6,10.4,1.8,50.7,126.8,0.6,4.0,0.0,483,3.0,,6.1,6.5,,2011,11,14
319,415743A001,김포시 월곶면,2011-11-15,6.1,12.4,0.5,68.1,103.7,0.2,2.6,0.0,467,3.5,,5.6,6.0,,2011,11,15
320,415743A001,김포시 월곶면,2011-11-16,10.4,16.2,4.2,74.5,221.8,0.3,3.1,0.0,412,3.7,,9.9,10.3,,2011,11,16
321,415743A001,김포시 월곶면,2011-11-17,12.9,16.9,9.1,71.0,80.6,0.5,4.5,0.0,0,3.1,,12.4,12.8,,2011,11,17
322,415743A001,김포시 월곶면,2011-11-18,14.5,17.0,11.9,88.5,81.0,0.4,2.3,7.0,0,2.0,,14.1,14.5,,2011,11,18
323,415743A001,김포시 월곶면,2011-11-19,11.6,16.0,3.6,78.6,244.2,0.8,4.7,0.0,241,3.2,,11.2,11.8,,2011,11,19
324,415743A001,김포시 월곶면,2011-11-20,1.1,4.2,-3.1,50.6,248.6,0.7,5.8,0.0,467,2.3,,0.7,1.2,,2011,11,20
325,415743A001,김포시 월곶면,2011-11-21,0.8,7.1,-4.3,60.8,215.0,0.2,3.3,0.0,474,2.0,,0.4,0.7,,2011,11,21
326,415743A001,김포시 월곶면,2011-11-22,5.9,10.0,1.3,77.4,174.2,0.3,3.7,3.0,90,3.0,,5.5,5.8,,2011,11,22
327,415743A001,김포시 월곶면,2011-11-23,3.7,7.0,-1.2,75.4,250.5,0.8,5.4,7.5,65,3.1,,3.3,3.8,,2011,11,23
328,415743A001,김포시 월곶면,2011-11-24,-1.3,2.7,-4.4,60.3,197.4,0.5,3.9,0.0,463,2.0,,-1.7,-1.2,,2011,11,24
329,415743A001,김포시 월곶면,2011-11-25,2.2,7.2,-1.0,67.1,111.9,0.2,3.0,0.0,448,2.8,,1.7,2.1,,2011,11,25
330,415743A001,김포시 월곶면,2011-11-26,6.5,11.6,-0.8,71.8,92.4,0.4,2.8,0.0,0,0.8,,6.0,6.4,,2011,11,26
331,415743A001,김포시 월곶면,2011-11-27,14.1,15.8,11.5,84.9,242.2,0.8,7.3,1.0,0,0.9,,13.6,14.1,,2011,11,27
332,415743A001,김포시 월곶면,2011-11-28,14.2,16.3,12.5,96.5,258.3,0.1,1.7,5.0,0,1.4,,13.7,14.2,,2011,11,28
333,415743A001,김포시 월곶면,2011-11-29,10.8,18.3,8.1,91.6,,0.0,8.2,1.0,0,1.0,,10.3,10.8,,2011,11,29
334,415743A001,김포시 월곶면,2011-11-30,5.2,31.2,3.8,90.1,,0.0,7.6,20.0,0,1.8,,4.7,5.2,,2011,11,30
